# Move [.] between shared and local, then run sync-maintain.
# type	item	shared	local
brew	asmvik/formulae/skhd	[.]	[]
brew	asmvik/formulae/yabai	[.]	[]
brew	bat	[.]	[]
brew	btop	[.]	[]
brew	cairo	[]	[.]
brew	eza	[.]	[]
brew	fish	[.]	[]
brew	fisher	[.]	[]
brew	fzf	[.]	[]
brew	gh	[.]	[]
brew	git	[.]	[]
brew	git-delta	[.]	[]
brew	libqalculate	[.]	[]
brew	mole	[.]	[]
brew	neovim	[.]	[]
brew	node	[]	[.]
brew	octave	[.]	[]
brew	oven-sh/bun/bun	[.]	[]
brew	pkgconf	[]	[.]
brew	pyright	[.]	[]
brew	ruff	[.]	[]
brew	tmux	[.]	[]
brew	tree	[.]	[]
brew	tree-sitter-cli	[]	[.]
brew	uv	[.]	[]
brew	wget	[.]	[]
brew	zoxide	[.]	[]
cask	affinity	[]	[.]
cask	chatgpt	[]	[.]
cask	claude	[]	[.]
cask	codex	[.]	[]
cask	font-sf-mono	[.]	[]
cask	ghostty	[.]	[]
cask	gitbutler	[]	[.]
cask	helium-browser	[.]	[]
cask	karabiner-elements	[.]	[]
cask	keyboardcleantool	[.]	[]
cask	linearmouse	[]	[.]
cask	microsoft-excel	[]	[.]
cask	notion	[]	[.]
cask	quickrecorder	[]	[.]
cask	raycast	[.]	[]
cask	shottr	[.]	[]
cask	spotify	[.]	[]
cask	visual-studio-code	[]	[.]
cask	wispr-flow	[.]	[]
